Page Name,URL Slug,Page Type,Target Keyword,H1,Meta Title,Meta Description,Status,Notes
Homepage,/,Homepage,elevadores de escadas portugal,Soluções para viver em sua casa com liberdade e independência,Vida Acessível | Elevadores de Escadas e Soluções de Acessibilidade em Portugal,"Compare elevadores de escadas, elevadores residenciais e plataformas elevatórias. Receba até 3 orçamentos gratuitos de instaladores certificados em Portugal.",Existing,Hub page linking to all equipment and solution pages
Elevadores de Escadas (Hub),/equipamentos/elevadores-de-escadas/,Equipment Hub,elevadores de escadas,Elevadores de Escadas: Suba e Desça com Segurança e Conforto,Elevadores de Escadas | Preços e Orçamentos Gratuitos | Vida Acessível,"Tudo sobre elevadores de escadas: tipos, preços, instalação e orçamentos. Compare soluções para escadas retas e curvas. Receba propostas de instaladores certificados.",Existing,Redesign needed — add sub-type cards and cleaner CTA
Elevadores Residenciais (Hub),/equipamentos/elevadores/,Equipment Hub,elevadores residenciais,Elevadores Residenciais: Conforto e Acessibilidade em Todos os Pisos,Elevadores Residenciais | Preços e Orçamentos Gratuitos | Vida Acessível,"Elevadores domésticos para moradias e apartamentos. Compare modelos compactos, sem poço e hidráulicos. Orçamentos gratuitos de instaladores em Portugal.",Existing,Redesign needed
Plataformas Elevatórias (Hub),/equipamentos/plataformas-elevatorias/,Equipment Hub,plataformas elevatórias,Plataformas Elevatórias: Acesso Seguro em Cadeira de Rodas,Plataformas Elevatórias | Preços e Orçamentos Gratuitos | Vida Acessível,"Plataformas elevatórias para escadas retas, curvas e exteriores. Solução para cadeira de rodas em casa ou edifício. Orçamentos gratuitos de instaladores certificados.",Existing,Redesign needed
Elevadores Escadas Retas,/elevadores-de-escadas/escadas-retas,Product Sub-type,elevador de escadas retas,Elevador de Escadas Retas: Instalação Rápida e Sem Obras,Elevador para Escadas Retas | Preços e Orçamentos | Vida Acessível,"Elevadores para escadas retas: a solução mais prática e acessível. Veja como funciona, quanto custa e receba orçamentos gratuitos de instaladores em Portugal.",New,Internal link to hub + price page
Elevadores Escadas Curvas,/elevadores-de-escadas/escadas-curvas,Product Sub-type,elevador de escadas curvas,Elevador de Escadas Curvas: Solução Feita à Medida,Elevador para Escadas Curvas | Preços e Orçamentos | Vida Acessível,"Elevadores para escadas curvas e em L. Calhas feitas à medida da sua escada. Compare marcas e receba até 3 orçamentos gratuitos de instaladores certificados.",New,Emphasise custom rail and higher price range
Elevadores Escadas Exteriores,/elevadores-de-escadas/escadas-exteriores,Product Sub-type,elevador de escadas exteriores,Elevador para Escadas Exteriores: Resistente e Seguro,Elevador para Escadas Exteriores | Preços e Orçamentos | Vida Acessível,"Elevadores para escadas exteriores — resistentes às condições climáticas. Veja modelos disponíveis e peça orçamentos gratuitos de instaladores em Portugal.",New,Highlight weather-resistance and safety features
Elevadores Escadas Estreitas,/elevadores-de-escadas/escadas-estreitas,Product Sub-type,elevador de escadas estreitas,Elevador para Escadas Estreitas: Cabe Mesmo em Espaços Pequenos,Elevador para Escadas Estreitas | Modelos Compactos | Vida Acessível,"A sua escada é estreita? Existem elevadores compactos que se adaptam. Compare modelos e receba orçamentos gratuitos de instaladores certificados em Portugal.",New,Address the fear that stairlifts won't fit
Elevadores Residenciais 1 Andar,/elevadores-residenciais/1-andar,Product Sub-type,elevador residencial 1 andar,Elevador Residencial para 1 Andar: Solução Prática para a Sua Moradia,Elevador Residencial 1 Andar | Preços e Orçamentos | Vida Acessível,"O elevador residencial para 1 andar é a solução mais comum em moradias. Veja tipos, preços e receba orçamentos de instaladores certificados em Portugal.",New,Most common use case — high volume keyword
Elevadores Residenciais Sem Poço,/elevadores-residenciais/sem-poco,Product Sub-type,elevador residencial sem poço,Elevador Residencial Sem Poço: Sem Obras e Sem Complicações,Elevador Residencial Sem Poço | Instalação Simples | Vida Acessível,"Elevadores residenciais sem poço: instalação rápida, sem obras de fundo. Saiba como funcionam, quanto custam e compare orçamentos de instaladores em Portugal.",New,Existing article on site — upgrade to full product page
